fmid,ts,status,enrolled,waitlist
350203117,2026-05-11T08:00:08+00:00,Unavailable,,
350203128,2026-05-11T08:00:08+00:00,Unavailable,,
350203139,2026-05-11T08:00:08+00:00,Unavailable,,
350203150,2026-05-11T08:00:08+00:00,Unavailable,,
350203162,2026-05-11T08:00:08+00:00,Unavailable,,
350203173,2026-05-11T08:00:08+00:00,Unavailable,,
350203184,2026-05-11T08:00:08+00:00,Unavailable,,
350203195,2026-05-11T08:00:08+00:00,Unavailable,,
350203206,2026-05-11T08:00:08+00:00,Unavailable,,
350203217,2026-05-11T08:00:08+00:00,Unavailable,,
350203228,2026-05-11T08:00:08+00:00,Unavailable,,
350203239,2026-05-11T08:00:08+00:00,Unavailable,,
350203250,2026-05-11T08:00:08+00:00,Unavailable,,
350203261,2026-05-11T08:00:08+00:00,Unavailable,,
350203272,2026-05-11T08:00:08+00:00,Unavailable,,
350203283,2026-05-11T08:00:08+00:00,Unavailable,,
350203294,2026-05-11T08:00:08+00:00,Unavailable,,
350203305,2026-05-11T08:00:08+00:00,Unavailable,,
350203316,2026-05-11T08:00:08+00:00,Unavailable,,
350203327,2026-05-11T08:00:08+00:00,Unavailable,,
350203338,2026-05-11T08:00:08+00:00,Unavailable,,
350203349,2026-05-11T08:00:08+00:00,Unavailable,,
350203360,2026-05-11T08:00:08+00:00,Unavailable,,
350203371,2026-05-11T08:00:08+00:00,Unavailable,,
350203383,2026-05-11T08:00:08+00:00,Unavailable,,
350203394,2026-05-11T08:00:08+00:00,Unavailable,,
350203405,2026-05-11T08:00:08+00:00,Unavailable,,
350203416,2026-05-11T08:00:08+00:00,Unavailable,,
350203427,2026-05-11T08:00:08+00:00,Unavailable,,
350203438,2026-05-11T08:00:08+00:00,Unavailable,,
350203449,2026-05-11T08:00:08+00:00,Unavailable,,
350203460,2026-05-11T08:00:08+00:00,Unavailable,,
350203472,2026-05-11T08:00:08+00:00,Unavailable,,
350203483,2026-05-11T08:00:08+00:00,Unavailable,,
350203494,2026-05-11T08:00:08+00:00,Unavailable,,
350203505,2026-05-11T08:00:08+00:00,Unavailable,,
350203516,2026-05-11T08:00:08+00:00,Unavailable,,
350203527,2026-05-11T08:00:08+00:00,Unavailable,,
350203538,2026-05-11T08:00:08+00:00,Unavailable,,
350203549,2026-05-11T08:00:08+00:00,Unavailable,,
350203560,2026-05-11T08:00:08+00:00,Unavailable,,
350203571,2026-05-11T08:00:08+00:00,Unavailable,,
350203593,2026-05-11T08:00:08+00:00,Unavailable,,
355173402,2026-05-11T08:00:08+00:00,Unavailable,,
350223957,2026-05-11T08:00:18+00:00,Unavailable,,
350223971,2026-05-11T08:00:18+00:00,Unavailable,,
350223985,2026-05-11T08:00:18+00:00,Unavailable,,
350223999,2026-05-11T08:00:18+00:00,Unavailable,,
350224011,2026-05-11T08:00:18+00:00,Unavailable,,
350224022,2026-05-11T08:00:18+00:00,Unavailable,,
350224033,2026-05-11T08:00:18+00:00,Unavailable,,
350224044,2026-05-11T08:00:18+00:00,Unavailable,,
350224055,2026-05-11T08:00:18+00:00,Unavailable,,
350224066,2026-05-11T08:00:18+00:00,Unavailable,,
350224077,2026-05-11T08:00:18+00:00,Unavailable,,
350224088,2026-05-11T08:00:18+00:00,Unavailable,,
350224102,2026-05-11T08:00:18+00:00,Unavailable,,
350224116,2026-05-11T08:00:18+00:00,Unavailable,,
350224130,2026-05-11T08:00:18+00:00,Unavailable,,
350224144,2026-05-11T08:00:18+00:00,Unavailable,,
350224158,2026-05-11T08:00:18+00:00,Unavailable,,
350224172,2026-05-11T08:00:18+00:00,Unavailable,,
350224186,2026-05-11T08:00:18+00:00,Unavailable,,
350224200,2026-05-11T08:00:18+00:00,Unavailable,,
350224214,2026-05-11T08:00:18+00:00,Unavailable,,
350224228,2026-05-11T08:00:18+00:00,Unavailable,,
350224239,2026-05-11T08:00:18+00:00,Unavailable,,
350224250,2026-05-11T08:00:18+00:00,Unavailable,,
350224261,2026-05-11T08:00:18+00:00,Unavailable,,
350224272,2026-05-11T08:00:18+00:00,Unavailable,,
350224283,2026-05-11T08:00:18+00:00,Unavailable,,
350224294,2026-05-11T08:00:18+00:00,Unavailable,,
350224305,2026-05-11T08:00:18+00:00,Unavailable,,
350224317,2026-05-11T08:00:18+00:00,Unavailable,,
350224328,2026-05-11T08:00:18+00:00,Unavailable,,
350224339,2026-05-11T08:00:18+00:00,Unavailable,,
350224350,2026-05-11T08:00:18+00:00,Unavailable,,
350224361,2026-05-11T08:00:18+00:00,Unavailable,,
350224372,2026-05-11T08:00:18+00:00,Unavailable,,
350224386,2026-05-11T08:00:18+00:00,Unavailable,,
350224401,2026-05-11T08:00:18+00:00,Unavailable,,
350224416,2026-05-11T08:00:18+00:00,Unavailable,,
350224433,2026-05-11T08:00:18+00:00,Unavailable,,
350224444,2026-05-11T08:00:18+00:00,Unavailable,,
350224455,2026-05-11T08:00:18+00:00,Unavailable,,
350224466,2026-05-11T08:00:18+00:00,Unavailable,,
350224477,2026-05-11T08:00:18+00:00,Unavailable,,
350224489,2026-05-11T08:00:18+00:00,Unavailable,,
350224500,2026-05-11T08:00:18+00:00,Unavailable,,
350224511,2026-05-11T08:00:18+00:00,Unavailable,,
350224522,2026-05-11T08:00:18+00:00,Unavailable,,
350224533,2026-05-11T08:00:18+00:00,Unavailable,,
350224544,2026-05-11T08:00:18+00:00,Unavailable,,
350224555,2026-05-11T08:00:18+00:00,Unavailable,,
350224566,2026-05-11T08:00:18+00:00,Unavailable,,
350224577,2026-05-11T08:00:18+00:00,Unavailable,,
350224588,2026-05-11T08:00:18+00:00,Unavailable,,
350224599,2026-05-11T08:00:18+00:00,Unavailable,,
350224612,2026-05-11T08:00:18+00:00,Unavailable,,
350224623,2026-05-11T08:00:18+00:00,Unavailable,,
350224634,2026-05-11T08:00:18+00:00,Unavailable,,
350224645,2026-05-11T08:00:18+00:00,Unavailable,,
350224658,2026-05-11T08:00:18+00:00,Unavailable,,
350224669,2026-05-11T08:00:18+00:00,Unavailable,,
350224680,2026-05-11T08:00:18+00:00,Unavailable,,
350224692,2026-05-11T08:00:18+00:00,Unavailable,,
350224703,2026-05-11T08:00:18+00:00,Unavailable,,
350224714,2026-05-11T08:00:18+00:00,Unavailable,,
350224725,2026-05-11T08:00:18+00:00,Unavailable,,
350224738,2026-05-11T08:00:18+00:00,Unavailable,,
350224749,2026-05-11T08:00:18+00:00,Unavailable,,
350224760,2026-05-11T08:00:18+00:00,Unavailable,,
350224771,2026-05-11T08:00:18+00:00,Unavailable,,
350224782,2026-05-11T08:00:18+00:00,Unavailable,,
350224793,2026-05-11T08:00:18+00:00,Unavailable,,
350224804,2026-05-11T08:00:18+00:00,Unavailable,,
350224815,2026-05-11T08:00:18+00:00,Unavailable,,
350224826,2026-05-11T08:00:18+00:00,Unavailable,,
350224837,2026-05-11T08:00:18+00:00,Unavailable,,
350224848,2026-05-11T08:00:18+00:00,Unavailable,,
350224859,2026-05-11T08:00:18+00:00,Unavailable,,
350224873,2026-05-11T08:00:18+00:00,Unavailable,,
350224887,2026-05-11T08:00:18+00:00,Unavailable,,
350224901,2026-05-11T08:00:18+00:00,Unavailable,,
350224915,2026-05-11T08:00:18+00:00,Unavailable,,
350224929,2026-05-11T08:00:18+00:00,Unavailable,,
350224940,2026-05-11T08:00:18+00:00,Unavailable,,
350224951,2026-05-11T08:00:18+00:00,Unavailable,,
350224962,2026-05-11T08:00:18+00:00,Unavailable,,
350224973,2026-05-11T08:00:18+00:00,Unavailable,,
350224985,2026-05-11T08:00:18+00:00,Unavailable,,
